date,open,high,low,close,volume
1514903400,156.56,158.53,156.17,158.49,32573300
1514989800,158.64,160.17,158.61,160.03,29383600
1515076200,160.58,160.79,160.08,160.31,24776100
1515162600,161.07,162.03,160.77,161.92,26992300
1515421800,161.92,162.63,161.86,162.55,23159100
1515508200,162.87,163.04,162.07,162.56,24782400
1515594600,161.84,162.21,161.12,162.18,34004000
1515681000,162.46,163.30,162.21,163.29,20473500
1515767400,163.15,164.66,162.94,164.49,37762700
1516113000,165.58,166.42,163.53,164.02,41231800
1516199400,164.80,166.04,164.00,165.79,33849900
1516285800,165.53,166.20,165.14,165.82,26432200
1516372200,166.31,166.61,165.54,166.34,38937600
1516631400,166.28,168.12,166.09,168.12,26081400
1516717800,168.64,169.66,168.56,169.51,37989700
1516804200,169.87,170.24,167.44,168.41,54287400
1516890600,169.57,169.63,167.81,168.35,28925000
1516977000,169.29,170.95,168.96,170.93,32038200
1517236200,170.57,170.91,169.74,170.10,37277800
1517322600,168.55,169.42,167.82,168.70,44987700
1517409000,169.65,169.99,168.34,169.40,42449200
1517495400,168.10,169.73,167.42,167.96,38037900
1517581800,167.30,167.70,164.47,164.61,68478100
1517841000,163.07,165.75,158.00,158.12,105372200
1517927400,155.81,162.51,155.10,162.31,118537900
1518013800,161.79,163.55,160.20,160.21,91028300
1518100200,160.62,160.80,153.45,153.45,94184800
1518186600,155.62,157.24,150.13,156.10,113836600
1518445800,157.70,159.95,156.46,158.87,63050600
1518532200,157.96,160.01,157.72,159.69,31785600
1518618600,158.75,162.93,158.00,162.68,52107400
1518705000,164.14,165.70,162.44,165.70,51633900
1518791400,165.16,166.76,164.68,164.96,62256300
1519137000,164.38,166.68,164.31,165.29,36785600
1519223400,166.10,167.72,164.72,164.82,41161800
1519309800,165.54,166.42,164.38,164.80,37074400
1519396200,166.13,168.17,165.45,168.17,50096900
1519655400,168.96,170.40,168.82,170.40,39266700
1519741800,170.45,170.73,168.21,168.29,42209900
1519828200,169.25,169.80,167.10,167.21,42936300
1519914600,167.30,168.07,163.00,164.48,76809900
1520001000,162.50,166.28,161.96,165.99,57445100
1520260200,165.21,168.26,164.59,167.83,38540200
1520346600,168.65,169.11,167.48,168.54,29480900
1520433000,167.25,169.07,166.96,168.93,34609400
1520519400,169.63,169.98,168.95,169.86,25828400
1520605800,171.07,173.16,170.82,173.16,38310500
1520861400,173.67,174.48,173.28,174.08,37635000
1520947800,174.48,175.21,171.27,171.71,55638900
1521034200,172.61,172.74,170.93,171.68,40536400
1521120600,171.80,172.53,170.90,171.53,28810400
1521207000,171.82,172.20,170.94,171.02,31176700
1521466200,169.10,169.22,165.64,167.10,71395100
1521552600,167.17,168.04,166.61,167.65,34075700
1521639000,167.21,168.76,166.19,166.92,43863500
1521725400,164.61,165.77,162.59,162.80,66607300
1521811800,162.61,163.30,158.43,158.51,80110400
