date,open,high,low,close,volume
1514903400,267.84,268.81,267.40,268.77,86655700
1514989800,268.96,270.64,268.96,270.47,90070400
1515076200,271.20,272.16,270.54,271.61,80636400
1515162600,272.51,273.56,271.95,273.42,83524000
1515421800,273.31,274.10,272.98,273.92,57319200
1515508200,274.40,275.25,274.08,274.54,57254000
1515594600,273.68,274.42,272.92,274.12,69574300
1515681000,274.75,276.12,274.56,276.12,62361500
1515767400,276.42,278.11,276.08,277.92,90816100
1516113000,279.35,280.09,276.18,276.97,106555100
1516199400,278.03,280.05,276.97,279.61,113258800
1516285800,279.48,279.96,278.58,279.14,100728000
1516372200,279.80,280.41,279.14,280.41,140920100
1516631400,280.17,282.69,280.11,282.69,91322400
1516717800,282.74,283.62,282.37,283.29,97084700
1516804200,284.02,284.70,281.84,283.18,134816100
1516890600,284.16,284.27,282.40,283.30,84587300
1516977000,284.25,286.63,283.96,286.58,107743100
1517236200,285.93,286.43,284.50,284.68,90118300
1517322600,282.60,284.74,281.22,281.76,131796400
1517409000,282.73,283.30,280.68,281.90,108364800
1517495400,281.07,283.06,280.68,281.58,90102500
1517581800,280.08,280.23,275.41,275.45,173174800
1517841000,273.45,275.85,263.31,263.93,294681800
1517927400,259.94,269.70,258.70,269.13,355026800
1518013800,268.50,272.36,267.58,267.67,167376100
1518100200,268.01,268.17,257.59,257.63,246449500
1518186600,260.80,263.61,252.92,261.50,283565300
1518445800,263.83,267.01,261.66,265.34,143736000
1518532200,263.97,266.62,263.31,266.00,81223600
1518618600,264.31,270.00,264.30,269.59,120735700
1518705000,271.57,273.04,268.77,273.03,111200300
1518791400,272.32,275.32,272.27,273.11,160420100
1519137000,272.03,273.67,270.50,271.40,86369700
1519223400,271.90,274.72,269.94,270.05,98883700
1519309800,271.10,273.05,269.64,270.40,110511300
1519396200,271.79,274.71,271.25,274.71,92766400
1519655400,275.93,278.01,275.26,277.90,86491400
1519741800,278.11,278.92,274.36,274.43,99099200
1519828200,275.68,276.19,271.29,271.65,121907800
1519914600,271.41,273.17,266.00,267.70,176855100
1520001000,265.80,269.72,264.82,269.08,139083200
1520260200,267.73,272.89,267.61,272.19,97307400
1520346600,273.30,273.39,271.18,272.88,79213200
1520433000,270.42,273.18,270.20,272.78,87063500
1520519400,273.55,274.24,272.42,274.10,66901200
1520605800,275.70,278.87,275.34,278.87,113625300
1520861400,279.20,279.91,278.08,278.52,71924800
1520947800,279.84,280.41,276.03,276.72,91968900
1521034200,277.81,278.02,274.67,275.30,105895100
1521120600,275.88,276.61,274.43,275.00,83433000
1521207000,274.50,275.39,274.14,274.20,100343700
1521466200,273.35,274.40,268.62,270.49,109208400
1521552600,270.94,271.67,270.18,270.95,59757300
1521639000,270.90,273.27,270.19,270.43,78709600
1521725400,267.91,268.87,263.36,263.67,148785900
1521811800,264.17,264.54,257.83,258.05,183534800
1522071000,262.13,265.43,259.41,265.11,141956100
1522157400,266.17,266.77,258.84,260.60,129941400
1522243800,260.75,262.64,258.58,259.83,146452300
1522330200,261.12,265.26,259.84,263.15,111601600
1522675800,262.55,263.13,254.67,257.47,186286300
1522762200,258.87,261.31,256.84,260.77,119956900
1522848600,256.75,264.36,256.60,263.56,123715300
1522935000,265.55,266.64,264.32,265.64,82652600
1523021400,263.42,265.11,258.00,259.72,179521200
1523280600,261.37,264.84,259.94,261.00,105442900
1523367000,264.27,266.04,262.98,265.15,103529000
1523453400,263.47,265.64,263.39,263.76,91140200
1523539800,265.26,267.00,265.06,265.93,68890500
1523626200,267.41,267.54,264.01,265.15,85079200
1523885400,267.00,268.20,266.07,267.33,63405300
1523971800,269.33,270.87,268.75,270.19,64682000
1524058200,270.69,271.30,269.87,270.39,57303900
1524144600,269.65,269.88,267.72,268.89,77655900
1524231000,268.81,269.06,265.61,266.61,99953100
1524490200,267.26,267.89,265.35,266.57,65558000
1524576600,267.73,267.98,261.28,262.98,112885500
1524663000,262.91,264.13,260.85,263.63,103840900
1524749400,264.79,267.25,264.29,266.31,67731900
1524835800,267.00,267.34,265.50,266.56,57053600
1525095000,267.26,267.89,264.43,264.51,82182300
1525181400,263.87,265.10,262.11,264.98,74203400
1525267800,264.76,265.68,262.76,263.20,86368900
1525354200,262.26,263.36,259.05,262.62,136311500
1525440600,261.52,266.79,261.15,266.02,91222100
1525699800,266.89,268.02,266.11,266.92,55304900
1525786200,266.50,267.33,265.15,266.92,67499200
1525872600,267.68,269.87,267.09,269.50,59666100
1525959000,270.34,272.39,270.22,272.02,72063900
1526045400,272.16,273.15,271.58,272.85,59871500
1526304600,273.34,274.08,272.36,272.98,54790600
1526391000,271.59,271.61,270.03,271.10,87036100
1526477400,271.14,272.76,271.11,272.24,53942600
1526563800,271.94,273.23,271.13,272.01,56536400
1526650200,271.62,272.03,270.93,271.33,64368000
1526909400,273.01,273.98,272.57,273.37,58025900
1526995800,273.96,274.25,272.24,272.61,52966400
1527082200,271.17,273.39,270.99,273.36,64694200
1527168600,272.91,273.22,270.78,272.80,76043800
1527255000,272.15,272.86,271.58,272.15,56374800
1527600600,270.31,271.17,267.76,269.02,115908600
1527687000,270.50,273.11,270.42,272.61,69678400
1527773400,272.15,272.49,270.26,270.94,93519900
1527859800,272.41,273.94,272.33,273.60,71258400
1528119000,274.53,275.19,274.26,274.90,45385200
1528205400,275.05,275.53,274.18,275.10,51135000
1528291800,275.79,277.52,275.09,277.40,62732200
1528378200,277.95,278.28,276.34,277.37,72969400
1528464600,276.85,278.25,276.66,278.19,72139700
1528723800,278.44,279.37,278.31,278.56,58892500
1528810200,279.03,279.33,278.19,278.92,72329000
1528896600,279.19,279.48,277.80,278.03,79070600
1528983000,279.01,279.33,278.06,278.73,77097600
1529069400,276.60,277.51,275.35,277.13,120041600
1529328600,275.49,276.70,274.95,276.56,52917600
1529415000,274.00,275.75,273.53,275.50,97531500
1529501400,276.27,276.72,275.59,275.97,53785500
1529587800,275.96,275.98,273.68,274.24,71061400
